Categorey, Location, Alt, Description
regatta,acs1.jpg,committee-boat,Committee boat
regatta,acs2.jpg,first-beat,First beat
regatta,acs3.jpg,waiting-for-wind,Waiting for the wind
regatta,acs4.jpg,race-2,Race number 2
regatta,acs5.jpg,race-crossing,Crossing on port
regatta,acs6.jpg,race-3,Race 3 start
regatta,acs7.jpg,race-4,Race 4 start
regatta,acs8.jpg,finish,Downwind to the finish
regatta,acs9.jpg,leading-pack,Leading the pack
regatta,acs10.jpg,race-5,Race 5
regatta,acs11.jpg,waiting-wind,Waiting for the wind
lobster,lobster1.jpg,hungry-crowd,Hungry crowd
lobster,lobster2.jpg,main-course,Waiting the main course
lobster,lobster3.jpg,grill,Al working the grill
lobster,lobster4.jpg,ready-to-eat,Lobsters ready to eat
lobster,lobster5.jpg,pot-1,Pot number 1
lobster,lobster6.jpg,evening,A beautiful evening at the club
lobster,lobster7.jpg,steve-lobster,Steve our head lobster cooker
meeting,meeting1.jpg,larry-bruce-sam,Larry and Bruce and Sam
meeting,meeting2.jpg,yardmaster,Yardmaster kevin giving his speach
meeting,meeting3.jpg,packed-house,A packed house
meeting,meeting4.jpg,ovation,A standing ovation for john
meeting,meeting5.jpg,social-hour,Social hour
meeting,meeting6.jpg,main-course,The main course
youth,youth1.jpg,youth-1,Opti's and 420's struggling in light air
youth,youth2.jpg,downwind-battle,Downwind battles
youth,youth3.jpg,opti-finish,Opti's racingto the finish
youth,youth4.jpg,420-start,420 fleet after the start
youth,youth5.jpg,lightair,A light air opti start
youth,youth6.jpg,ben-grahm,Ben and Grahm running committee
